email,first_name,last_name,cf_id,company_name,description,end_date,Left of Goal
raymond.solorzano@gmail.com,Raymond,Solorzano,202,"Bridges, Freeman and Kim",Cross-group multi-state task-force,2021-12-04,2900.00
flora.harris@hotmail.com.au,Flora,Harris,2025,Anderson-Perez,Expanded 3rdgeneration strategy,2021-06-11,2700.00
cheryl.boyd@segni.it,Cheryl,Boyd,2395,"Wright, Fox and Marks",Assimilated real-time support,2021-03-07,1400.00
rhys.leiva@gmx.de,Rhys,Leiva,1418,Crawford-Peters,User-centric regional database,2021-08-24,94200.00
mariano.prieto@vodafone.it,Mariano,Prieto,1905,Romero-Hoffman,Open-source zero administration complexity,2021-10-26,199200.00
laurie.fibonacci@gmail.com,Laurie,Fibonacci,1969,Sparks-West,Organized incremental standardization,2021-11-21,2000.00
david.rudolph@nelson.com,David,Rudolph,2430,"Baker, Morgan and Brown",Assimilated didactic open system,2021-07-16,4700.00
bryan.ross@yahoo.com,Bryan,Ross,1291,Mosley-Gilbert,Vision-oriented logistical intranet,2021-09-23,2800.00
ubaldo.brown@philippe.com,Ubaldo,Brown,1934,Berry-Boyer,Mandatory incremental projection,2021-11-20,6100.00
clelia.faulkner@hotmail.com,Clelia,Faulkner,1225,Sanders-Allen,Grass-roots needs-based encryption,2021-11-06,2900.00
sara.erickson@yahoo.de,Sara,Erickson,1363,Lopez Inc,Team-oriented 6thgeneration middleware,2021-09-24,72600.00
rupert.valle@filogamo.it,Rupert,Valle,963,Moreno-Turner,Inverse multi-tasking installation,2021-02-07,5700.00
puccio.kitzmann@yahoo.com,Puccio,Kitzmann,1486,Jones-Watson,Switchable disintermediate moderator,2022-01-17,7900.00
thomas.hutchinson@gmx.de,Thomas,Hutchinson,676,Barker Inc,Re-engineered 24/7 task-force,2022-01-30,128000.00
abelardo.castro@gmail.com,Abelardo,Castro,2137,"Tate, Bass and House",Organic object-oriented budgetary management,2021-06-05,6000.00
greco.walker@yahoo.com,Greco,Walker,2656,"Hampton, Lewis and Ray",Seamless coherent parallelism,2021-11-30,600.00
miranda.lacombe@longoria-vanegas.net,Miranda,Lacombe,1556,Collins-Goodman,Cross-platform even-keeled initiative,2021-03-09,1400.00
diana.schuchhardt@libero.it,Diana,Schuchhardt,747,Davis-Michael,Progressive tertiary framework,2021-08-27,3900.00
stacey.knox@corporacin.com,Stacey,Knox,60,"White, Torres and Bishop",Multi-layered dynamic protocol,2021-03-31,9700.00
glen.faivre@yahoo.com,Glen,Faivre,2459,"Martin, Conway and Larsen",Horizontal next generation function,2021-12-26,122900.00
andrew.torres@ruiz-torres.org,Andrew,Torres,1903,Acevedo-Huffman,Pre-emptive impactful model,2021-08-27,9500.00
denny.fritz@despacho.biz,Denny,Fritz,2003,"Montgomery, Larson and Spencer",User-centric bifurcated knowledge user,2021-04-16,4500.00
martyn.caldera@hotmail.co.uk,Martyn,Caldera,2885,Soto LLC,Triple-buffered reciprocal project,2021-11-18,57800.00
abigail.foster@taylor.net,Abigail,Foster,2067,"Sutton, Barrett and Tucker",Cross-platform needs-based approach,2021-10-21,1100.00
anthony.hauffer@tlustek.org,Anthony,Hauffer,1610,"Gomez, Bailey and Flores",User-friendly static contingency,2021-03-04,16800.00
roger.gerlach@may-mitchell.co.uk,Roger,Gerlach,2909,Porter-George,Reactive content-based framework,2021-11-11,1000.00
christopher.poirier@hotmail.com,Christopher,Poirier,1239,Fitzgerald PLC,Realigned user-facing concept,2021-08-08,106400.00
branka.traore@jacobi.com,Branka,Traore,2480,Cisneros-Burton,Public-key zero tolerance orchestration,2021-10-05,31400.00
briana.etienne@bishop-coates.com,Briana,Etienne,2181,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,2021-08-20,4900.00
brandon.olson@prince-moreno.net,Brandon,Olson,2030,Davis-Smith,Organic motivating firmware,2021-09-12,7400.00
celia.ungaretti@fox.com,Celia,Ungaretti,2311,Farrell and Sons,Synergized 4thgeneration conglomeration,2021-03-24,198500.00
barbara.guibert@casares-sanches.com,Barbara,Guibert,2821,Clark Group,Grass-roots fault-tolerant policy,2021-02-22,4800.00
daniela.bell@vollbrecht.org,Daniela,Bell,2468,"White, Singleton and Zimmerman",Monitored scalable knowledgebase,2021-01-18,3400.00
phyllis.gurule@rodriguez-pham.com,Phyllis,Gurule,656,Kramer Group,Synergistic explicit parallelism,2021-11-15,7800.00
alejandra.joseph@escalante-abrego.biz,Alejandra,Joseph,2791,"Frazier, Patrick and Smith",Enhanced systemic analyzer,2021-06-17,154300.00
giulio.bohlander@dbmail.com,Giulio,Bohlander,1527,"Santos, Bell and Lloyd",Object-based analyzing knowledge user,2021-05-15,20000.00
amber.weller@toso.eu,Amber,Weller,1891,Hall and Sons,Pre-emptive radical architecture,2021-12-05,108800.00
mary.etzold@conrad-harrison.com,Mary,Etzold,580,Hanson Inc,Grass-roots web-enabled contingency,2021-08-29,2900.00
amy.georges@raedel.de,Amy,Georges,682,Sanchez LLC,Stand-alone system-worthy standardization,2021-09-05,900.00
jennifer.giraud@yahoo.com,Jennifer,Giraud,3097,Howard Ltd,Down-sized systematic policy,2021-12-26,69700.00
rosie.peltier@voila.fr,Rosie,Peltier,873,Stewart LLC,Cloned bi-directional architecture,2021-06-11,1300.00
oreste.ward@proyectos.com,Oreste,Ward,1668,"Arias, Allen and Miller",Seamless transitional portal,2021-11-03,97800.00
luis.edwards@live.com,Luis,Edwards,3076,Baker-Morris,Fully-configurable motivating approach,2021-02-06,7600.00
fiona.griffiths@curatoli-verdone.it,Fiona,Griffiths,3146,"Tucker, Fox and Green",Upgradable fault-tolerant approach,2021-10-23,100.00
sally.raya@tarchetti.it,Sally,Raya,253,Douglas LLC,Reduced heuristic moratorium,2022-01-27,900.00
carolyn.charpentier@hotmail.de,Carolyn,Charpentier,3088,Garcia Inc,Front-line web-enabled model,2021-08-18,3700.00
nathalie.alvarez@live.com,Nathalie,Alvarez,393,"Frye, Hunt and Powell",Polarized incremental emulation,2021-08-03,10000.00
abril.lowery@novak.net,Abril,Lowery,2912,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,2021-10-15,119200.00
ottone.sullivan@hussain-kaur.com,Ottone,Sullivan,478,Charles-Johnson,Total fresh-thinking system engine,2021-07-23,6800.00
esmeralda.sollima@visintini.it,Esmeralda,Sollima,1061,"Brandt, Carter and Wood",Ameliorated clear-thinking circuit,2021-05-19,3900.00
silvia.gierschner@tele2.it,Silvia,Gierschner,2957,"Tucker, Schmidt and Reid",Multi-layered encompassing installation,2021-12-28,3500.00
kyle.cunningham@voila.fr,Kyle,Cunningham,2015,Decker Inc,Universal encompassing implementation,2021-07-23,1500.00
anel.carpentier@klein-joseph.org,Anel,Carpentier,1179,Romero and Sons,Object-based client-server application,2021-06-12,5200.00
sarah.davis@david.com,Sarah,Davis,2568,Castillo-Carey,Cross-platform solution-oriented process improvement,2021-05-30,142400.00
luke.klein@hotmail.com,Luke,Klein,2869,Hart-Briggs,Re-engineered user-facing approach,2021-10-27,61400.00
gudrun.mueller@dillon-fuller.info,Gudrun,Mueller,718,Jones-Meyer,Re-engineered client-driven hub,2021-04-12,4700.00
melissa.canali@libero.it,Melissa,Canali,1211,"Wright, Hartman and Yu",User-friendly tertiary array,2021-02-13,3300.00
gabrielle.ayala@hotmail.com,Gabrielle,Ayala,2431,Harper-Davis,Robust heuristic encoding,2021-12-31,1900.00
laura.buckley@ryan.org,Laura,Buckley,468,Barrett PLC,Team-oriented clear-thinking capacity,2021-04-16,166700.00
wilfrido.lorch@leclerc.fr,Wilfrido,Lorch,1862,David-Clark,De-engineered motivating standardization,2021-12-31,7200.00
robert.bruder@manzoni.com,Robert,Bruder,2300,Chaney-Dennis,Business-focused 24hour groupware,2021-12-31,4900.00
phillip.soliz@outlook.com,Phillip,Soliz,449,"Robinson, Lopez and Christensen",Organic next generation protocol,2021-10-17,5400.00
alex.smith@fournier.fr,Alex,Smith,283,Clark and Sons,Reverse-engineered full-range Internet solution,2021-11-01,5000.00
jessica.martinez@salieri.com,Jessica,Martinez,2484,Vega Group,Synchronized regional synergy,2021-10-08,75100.00
kelly.carter@hotmail.com.au,Kelly,Carter,1490,Brown-Brown,Multi-lateral homogeneous success,2021-04-14,45300.00
ahmad.sosa@gmail.com,Ahmad,Sosa,186,Taylor PLC,Seamless zero-defect solution,2021-01-28,136800.00
toralf.iglesias@borrego.com,Toralf,Iglesias,2999,Edwards-Lewis,Enhanced scalable concept,2022-02-03,177700.00
irene.anichini@yahoo.com,Irene,Anichini,2819,"Stanton, Neal and Rodriguez",Polarized uniform software,2021-02-28,2600.00
alicia.cainero@yahoo.com,Alicia,Cainero,2105,Pratt LLC,Stand-alone web-enabled moderator,2021-05-02,5300.00
tracey.laboy@bell.biz,Tracey,Laboy,1324,Gross PLC,Proactive methodical benchmark,2021-03-11,180200.00
donald.reynaud@green.edu.au,Donald,Reynaud,1952,"Martinez, Gomez and Dalton",Team-oriented 6thgeneration matrix,2021-06-16,103200.00
venancio.stadelmann@gmx.de,Venancio,Stadelmann,2404,Allen-Curtis,Phased human-resource core,2021-09-17,70600.00
seth.olivier@yahoo.com,Seth,Olivier,990,Morgan-Martinez,Mandatory tertiary implementation,2021-12-06,148500.00
dennis.boaga@gmx.de,Dennis,Boaga,1459,"Luna, Anderson and Fox",Secured directional encryption,2021-07-13,9600.00
pedro.wilson@outlook.com,Pedro,Wilson,1106,"Fleming, Zhang and Henderson",Distributed 5thgeneration implementation,2022-01-18,164700.00
roland.weihmann@gmail.com,Roland,Weihmann,1488,Flowers and Sons,Virtual static core,2021-11-02,3300.00
hector.morrison@web.de,Hector,Morrison,2107,Gates PLC,Secured content-based product,2021-05-18,4500.00
evangelos.peters@sanchez.net,Evangelos,Peters,2660,Caldwell LLC,Secured executive concept,2021-07-28,99500.00
gerardo.hamilton@libero.it,Gerardo,Hamilton,2647,"Le, Burton and Evans",Balanced zero-defect software,2021-12-02,7700.00
meta.cuzzocrea@howard-jensen.org,Meta,Cuzzocrea,565,Briggs PLC,Distributed context-sensitive flexibility,2021-04-14,82800.00
alma.raymond@tin.it,Alma,Raymond,2713,Hudson-Nguyen,Down-sized disintermediate support,2021-02-14,1800.00
kathleen.solimena@wallace.biz,Kathleen,Solimena,558,Hogan Ltd,Stand-alone mission-critical moratorium,2021-12-17,9600.00
zacharie.cordier@gmail.com,Zacharie,Cordier,698,"Hamilton, Wright and Chavez",Down-sized empowering protocol,2021-07-07,92100.00
riza.techer@yahoo.com,Riza,Techer,321,Bautista-Cross,Fully-configurable coherent Internet solution,2021-05-05,5500.00
enrique.guillen@hotmail.co.uk,Enrique,Guillen,1302,Jackson LLC,Distributed motivating algorithm,2021-03-21,64300.00
tristan.weeks@pena.com,Tristan,Weeks,1410,Figueroa Ltd,Expanded solution-oriented benchmark,2021-11-24,5000.00
natalie.lerma@boucher.com,Natalie,Lerma,2465,Avila-Jones,Implemented discrete secured line,2021-11-25,5400.00
rodney.hamon@hotmail.com,Rodney,Hamon,377,"Martin, Lopez and Hunter",Multi-lateral actuating installation,2021-04-20,9000.00
adalberto.lombardo@sfr.fr,Adalberto,Lombardo,1882,Fields-Moore,Secured reciprocal array,2021-11-21,25000.00
florencia.querini@gmail.com,Florencia,Querini,822,Harris-Golden,Optional bandwidth-monitored middleware,2021-02-01,8800.00
liam.rolland@yahoo.fr,Liam,Rolland,2730,"Moss, Norman and Dunlap",Upgradable upward-trending workforce,2021-11-15,8300.00
ian.kelly@reeves.com.au,Ian,Kelly,2198,"White, Larson and Wright",Upgradable hybrid capability,2021-02-15,9300.00
mehdi.todd@web.de,Mehdi,Todd,2757,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,2021-04-16,6200.00
rembrandt.liguori@davis.org,Rembrandt,Liguori,2588,"Brown, Palmer and Pace",Networked stable workforce,2021-07-11,100.00
irmi.schweitzer@ozuna.com,Irmi,Schweitzer,1090,Parker LLC,Customizable intermediate extranet,2022-01-12,137200.00
gioffre.stein@hotmail.com.au,Gioffre,Stein,64,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,2021-07-23,41500.00
frida.villarreal@hotmail.de,Frida,Villarreal,2171,"Whitehead, Bell and Hughes",Multi-tiered radical definition,2021-11-12,189400.00
steffen.mangold@paul.net,Steffen,Mangold,625,Rodriguez-Brown,Devolved foreground benchmark,2021-06-20,171300.00
elias.marin@herve.net,Elias,Marin,1065,Hall-Schaefer,Distributed eco-centric methodology,2021-07-29,139500.00
roman.gonzalez@anderson.net,Roman,Gonzalez,174,Meza-Rogers,Streamlined encompassing encryption,2021-12-26,36400.00
reina.middleton@hotmail.com,Reina,Middleton,1344,Curtis-Curtis,User-friendly reciprocal initiative,2021-10-14,4200.00
sandro.moran@hotmail.de,Sandro,Moran,2824,Carlson Inc,Ergonomic fresh-thinking installation,2021-11-24,2100.00
gebhard.thanel@gmail.com,Gebhard,Thanel,940,"Clarke, Anderson and Lee",Robust explicit hardware,2021-06-30,191200.00
antonino.bolander@gmail.com,Antonino,Bolander,3024,Evans Group,Stand-alone actuating support,2021-07-14,8000.00
karl.trevisani@anguissola.it,Karl,Trevisani,2164,Bruce Group,Cross-platform methodical process improvement,2021-09-05,5500.00
silvester.brookes@franco.org,Silvester,Brookes,2427,"Keith, Alvarez and Potter",Extended bottom-line open architecture,2021-12-16,6100.00
octavio.pratt@web.de,Octavio,Pratt,1548,Burton-Watkins,Extended reciprocal circuit,2021-08-15,3500.00
rebecca.greer@hotmail.com,Rebecca,Greer,2657,Lopez and Sons,Polarized human-resource protocol,2021-11-24,150500.00
pierina.gaggini@free.fr,Pierina,Gaggini,2916,Cordova Ltd,Synergized radical product,2021-08-08,90400.00
robin.schleich@rogers-barrera.biz,Robin,Schleich,1348,Brown-Vang,Robust heuristic artificial intelligence,2021-08-25,9800.00
sergio.abbott@moore.net.au,Sergio,Abbott,557,Cruz-Ward,Robust content-based emulation,2021-10-19,2600.00
gilberto.evans@salcedo-archuleta.net,Gilberto,Evans,2915,Hernandez Group,Ergonomic uniform open system,2021-03-18,128100.00
james.elliott@gmail.com,James,Elliott,320,"Tran, Steele and Wilson",Profit-focused modular product,2021-03-23,23300.00
timoteo.bolnbach@laboratorios.com,Timoteo,Bolnbach,1458,"Summers, Gallegos and Stein",Mandatory mobile product,2021-07-27,188100.00
tonino.stanley@hotmail.com,Tonino,Stanley,379,Blair Group,Public-key 3rdgeneration budgetary management,2021-11-23,4900.00
margaretha.murialdo@meunier.com,Margaretha,Murialdo,1879,Nixon Inc,Centralized national firmware,2021-04-16,800.00
bianca.drubin@libero.it,Bianca,Drubin,597,White LLC,Cross-group 4thgeneration middleware,2021-10-17,96700.00
kaylee.hoffmann@poulain.com,Kaylee,Hoffmann,1130,"Santos, Black and Donovan",Pre-emptive scalable access,2021-02-08,600.00
teresa.vecellio@yahoo.com,Teresa,Vecellio,2354,"Jones, Contreras and Burnett",Sharable intangible migration,2021-12-16,181200.00
emine.tacchini@dbmail.com,Emine,Tacchini,1358,Stone-Orozco,Proactive scalable Graphical User Interface,2021-05-06,115000.00
dawn.cortez@gmail.com,Dawn,Cortez,188,"Lee, Gibson and Morgan",Digitized solution-oriented product,2021-08-26,38800.00
emily.cundari@clark.com.au,Emily,Cundari,2228,Alexander-Williams,Triple-buffered cohesive structure,2021-07-08,7200.00
eleanor.hall@hotmail.com,Eleanor,Hall,1743,Marks Ltd,Realigned human-resource orchestration,2021-04-11,44500.00
monique.delgadillo@hotmail.co.uk,Monique,Delgadillo,2563,"Olsen, Edwards and Reid",Optional clear-thinking software,2021-06-06,56000.00
arnaude.warner@gmail.com,Arnaude,Warner,2424,"Daniels, Rose and Tyler",Centralized global approach,2021-04-15,8600.00
jason.howell@gmx.de,Jason,Howell,2369,Adams Group,Reverse-engineered bandwidth-monitored contingency,2021-08-28,27100.00
nicole.mccullough@hall.com,Nicole,Mccullough,1134,"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,2021-03-02,5100.00
rosmarie.esquibel@bouygtel.fr,Rosmarie,Esquibel,2241,"Howard, Carter and Griffith",Adaptive asynchronous emulation,2021-09-11,3600.00
leonor.ferreira@gmail.com,Leonor,Ferreira,2745,Bailey PLC,Innovative actuating conglomeration,2021-03-22,1000.00
brett.jones@alice.it,Brett,Jones,1055,Parker Group,Grass-roots foreground policy,2021-08-16,88800.00
nino.bien@gmail.com,Nino,Bien,1215,Fox Group,Horizontal transitional paradigm,2021-02-20,60200.00
jemma.tate@hotmail.de,Jemma,Tate,2036,"Walker, Jones and Rodriguez",Networked didactic info-mediaries,2021-10-07,8200.00
denis.rogers@poste.it,Denis,Rogers,1191,Anthony-Shaw,Switchable contextually-based access,2021-05-23,191300.00
vanesa.khan@voila.fr,Vanesa,Khan,879,Cook LLC,Up-sized dynamic throughput,2021-09-04,3700.00
victoria.ojeda@doehn.com,Victoria,Ojeda,3062,Sutton PLC,Mandatory reciprocal superstructure,2021-05-11,8400.00
eugenio.martin@yahoo.de,Eugenio,Martin,611,"Long, Morgan and Mitchell",Upgradable 4thgeneration productivity,2021-06-16,42600.00
nancy.hayes@hotmail.com,Nancy,Hayes,3195,"Calhoun, Rogers and Long",Progressive discrete hub,2021-03-22,6600.00
lara.jacob@buckley.org,Lara,Jacob,1221,Sandoval Group,Assimilated multi-tasking archive,2021-09-21,7100.00
gino.hernandez@covarrubias.com,Gino,Hernandez,2536,Smith and Sons,Upgradable high-level solution,2021-12-15,15800.00
vicente.tijerina@montanariello.com,Vicente,Tijerina,1834,King Inc,Organic bandwidth-monitored frame,2021-08-30,8200.00
michele.brambilla@yahoo.com,Michele,Brambilla,593,Perry and Sons,Business-focused logistical framework,2021-06-02,54700.00
dana.ritacca@gmail.com,Dana,Ritacca,3039,Palmer Inc,Universal multi-state capability,2021-07-05,63200.00
mitchell.bachmann@suarez-cruz.com,Mitchell,Bachmann,777,"Hull, Baker and Martinez",Digitized reciprocal infrastructure,2021-03-13,1800.00
vincenza.key@adams.com,Vincenza,Key,835,"Becker, Rice and White",Reduced dedicated capability,2021-05-26,100.00
salvador.gaillard@yahoo.de,Salvador,Gaillard,797,"Osborne, Perkins and Knox",Cross-platform bi-directional workforce,2021-10-26,2100.00
diane.rogner@kelly.co.uk,Diane,Rogner,509,Mcknight-Freeman,Upgradable scalable methodology,2021-04-22,8300.00
josette.laine@saracino-parisi.net,Josette,Laine,2286,"Hayden, Shannon and Stein",Customer-focused client-server service-desk,2021-09-24,143900.00
courtney.fiebig@doerschner.com,Courtney,Fiebig,2110,Daniel-Luna,Mandatory multimedia leverage,2021-01-17,75000.00
hugues.oliver@stiffel.com,Hugues,Oliver,1038,Weaver-Marquez,Focused analyzing circuit,2022-01-04,1300.00
espartaco.willis@hotmail.com,Espartaco,Willis,2893,"Austin, Baker and Kelley",Fundamental grid-enabled strategy,2021-10-29,9000.00
flavia.yoder@hotmail.de,Flavia,Yoder,805,Carney-Anderson,Digitized 5thgeneration knowledgebase,2021-08-29,1000.00
casey.flores@baggio.org,Casey,Flores,225,Jackson Inc,Mandatory multi-tasking encryption,2021-08-21,196900.00
calogero.cross@mercantini.it,Calogero,Cross,968,Warren Ltd,Distributed system-worthy application,2021-09-21,194500.00
charles.begum@laboratorios.info,Charles,Begum,1369,Schultz Inc,Synergistic tertiary time-frame,2021-08-24,9400.00
adina.pollard@outlook.com,Adina,Pollard,1417,Thompson LLC,Customer-focused impactful benchmark,2021-06-17,104400.00
natasha.lara@outlook.com,Natasha,Lara,3011,Johnson Inc,Profound next generation infrastructure,2021-03-05,8100.00
benita.pottier@sfr.fr,Benita,Pottier,2691,Morgan-Warren,Face-to-face encompassing info-mediaries,2021-07-30,87900.00
elizabeth.valdivia@gmail.com,Elizabeth,Valdivia,2159,Sullivan Group,Open-source fresh-thinking policy,2021-07-24,1400.00
mattia.huet@aol.de,Mattia,Huet,2515,"Vargas, Banks and Palmer",Extended 24/7 implementation,2021-05-14,156800.00
geza.howard@voila.fr,Geza,Howard,544,"Johnson, Dixon and Zimmerman",Organic dynamic algorithm,2021-01-06,121700.00
lauren.guillaume@sorgatz.org,Lauren,Guillaume,3030,"Moore, Dudley and Navarro",Organic multi-tasking focus group,2021-06-28,129400.00
joanna.baxter@bruce-wright.com,Joanna,Baxter,817,Price-Rodriguez,Adaptive logistical initiative,2021-04-26,5700.00
tracy.metz@bryant.info,Tracy,Metz,1400,Huang-Henderson,Stand-alone mobile customer loyalty,2021-08-04,41700.00
birgit.pena@armellini.it,Birgit,Pena,657,Owens-Le,Focused composite approach,2021-12-01,7900.00
